第 0 block 第 0 筆 : 為線資料，其相關資料為	0.000000	-100.000000	0.000000	100.000000	0.000000	0.000000
第 0 block 第 1 筆 : 為線資料，其相關資料為	100.000000	0.000000	0.000000	0.000000	100.000000	0.000000
第 0 block 第 2 筆 : 為線資料，其相關資料為	0.000000	100.000000	0.000000	100.000000	100.000000	0.000000
第 0 block 第 3 筆 : 為線資料，其相關資料為	100.000000	100.000000	0.000000	200.000000	200.000000	0.000000
第 0 block 第 4 筆 : 為線資料，其相關資料為	200.000000	200.000000	0.000000	300.000000	100.000000	0.000000
第 0 block 第 5 筆 : 為線資料，其相關資料為	300.000000	100.000000	0.000000	400.000000	100.000000	0.000000
第 0 block 第 6 筆 : 為線資料，其相關資料為	400.000000	100.000000	0.000000	300.000000	0.000000	0.000000
第 0 block 第 7 筆 : 為線資料，其相關資料為	300.000000	0.000000	0.000000	400.000000	-100.000000	0.000000
第 0 block 第 8 筆 : 為線資料，其相關資料為	400.000000	-100.000000	0.000000	200.000000	0.000000	0.000000
第 0 block 第 9 筆 : 為線資料，其相關資料為	200.000000	0.000000	0.000000	0.000000	-100.000000	0.000000
